Address,City,EOAddress,Electorate,Email,Fax,First name,Gender,House,LastName,LastUpdated,MinAddress,MinPhone,Minister,POAddress,POstcode,Party,PartyAbb,Phone,Photo,Political Party,Name,Position,PreferredName,Salutation,State,Surname,Title,Web,images,﻿Full Name
,,"Shop 2, 30 Oleander Drive, Mill Park, VIC, 3082",Mill Park,lily.dambrosio@parliament.vic.gov.au,,,,Legislative Assembly,D'Ambrosio,17/11/2023,"Level 17, , 8 Nicholson Street, East Melbourne, VIC, 3002",(03) 9637 9504,"Minister for Climate Action, Minister for Energy and Resources, Minister for the State Electricity Commission",,,Australian Labor Party,ALP,(03) 9422 5171,,,,,Lily,,,,The Hon.,,,
,,"496 High Street, Echuca, VIC, 3564",Murray Plains,peter.walsh@parliament.vic.gov.au,,,,Legislative Assembly,Walsh,02/10/2023,,,"Shadow Minister for Regional Development, Shadow Minister for Local Government, Shadow Minister for Aboriginal Affairs",,,The Nationals,NAT,(03) 5482 2039,,,,"Deputy Leader of the Coalition, Leader of The Nationals",Peter,,,,The Hon.,"https://www.peterwalsh.org.au, https://www.facebook.com/peterwalshmp, https://twitter.com/peterwalshmp",,
,,"Suite 7, 600 Doncaster Road, Doncaster, VIC, 3108",Bulleen,matthew.guy@parliament.vic.gov.au,,,,Legislative Assembly,Guy,02/10/2023,,,Shadow Minister for Public Transport,,,Liberal Party,LP,(03) 9850 7983,,,,,Matthew,,,,The Hon.,,,
,,"Shop 2, 56-58 Watton Street, Werribee, VIC, 3030",Werribee,tim.pallas@parliament.vic.gov.au,,,,Legislative Assembly,Pallas,09/10/2023,"Level 4, 1 Treasury Place, East Melbourne, VIC, 3002",(03) 7005 9474,"Treasurer, Minister for Industrial Relations, Minister for Economic Growth",,,Australian Labor Party,ALP,(03) 9741 1133,,,,,Tim,,,,Mr,"https://www.timpallas.com.au/, https://twitter.com/timpallas",,
,,"60 Main Street, Croydon, VIC, 3136",Croydon,david.hodgett@parliament.vic.gov.au,,,,Legislative Assembly,Hodgett,03/10/2023,,,"Shadow Special Minister of State, Shadow Minister for Employment and Industrial Relations",,,Liberal Party,LP,(03) 9725 3570,,,,,David,,,,The Hon.,,,
,,"221 High Street, Thomastown, VIC, 3074",Thomastown,bronwyn.halfpenny@parliament.vic.gov.au,,,,Legislative Assembly,Halfpenny,25/10/2023,,,,,,Australian Labor Party,ALP,(03) 9401 2711,,,,Parliamentary Secretary for Jobs,Bronwyn,,,,Ms,,,
,,"Suite 3, 16 Lockwood Road, Kangaroo Flat, VIC, 3555",Bendigo West,maree.edwards@parliament.vic.gov.au,,,,Legislative Assembly,Edwards,09/03/2023,"Speaker's Office,, Parliament House, Spring Street, East Melbourne, VIC, 3002",(03) 9651 8580,,"PO Box 1238, Kangaroo Flat, VIC, 3555",,Australian Labor Party,ALP,(03) 5410 2444,,,,Speaker of the Legislative Assembly,Maree,,,,The Hon.,"https://www.mareeedwards.com.au/, https://twitter.com/mareeedwardsmp, https://www.facebook.com/mareeedwardsmp/",,
,,"313-315 Waverley Road, Malvern East, VIC, 3145",Malvern,michael.obrien@parliament.vic.gov.au,,,,Legislative Assembly,O'Brien,10/03/2023,,,Shadow Attorney-General,,,Liberal Party,LP,(03) 9576 1850,,,,,Michael,,,,The Hon.,"https://www.michaelobrien.com.au, https://twitter.com/michaelobrienmp",,
,,"Suite 1, 1320 Plenty Road, Bundoora, VIC, 3083",Bundoora,colin.brooks@parliament.vic.gov.au,,,,Legislative Assembly,Brooks,03/11/2023,"Level 22,, 1 Spring Street, Melbourne, VIC, 3000",(03) 9658 4201,"Minister for Development Victoria, Minister for Precincts, Minister for Creative Industries","PO Box 79, Bundoora, VIC, 3083",,Australian Labor Party,ALP,(03) 9467 5657,,,,,Colin,,,,The Hon.,"http://www.colinbrooks.com.au, http://twitter.com/ColinBrooksMP",,
,,"Suite 2, 91 Hume Street, Wodonga, VIC, 3690",Benambra,bill.tilley@parliament.vic.gov.au,,,,Legislative Assembly,Tilley,19/09/2023,,,,"Po Box 1719, Wodonga, VIC, 3689",,Liberal Party,LP,(02) 6009 0808,,,,,Bill,,,,Mr,,,
,,"Ground Floor, 622 Nepean Highway, Carrum, VIC, 3197",Carrum,sonya.kilkenny@parliament.vic.gov.au,,,,Legislative Assembly,Kilkenny,16/10/2023,"Level 20,, 1 Spring Street, Melbourne, VIC, 3000",(03) 9658 4301,"Minister for Planning, Minister for the Suburbs",,,Australian Labor Party,ALP,(03) 9773 2727,,,,,Sonya,,,,The Hon.,"https://www.facebook.com/SonyaKilkennyMP, https://twitter.com/sonyakilkenny",,
,,"Suite 2,, 4-6 Wheelers Street, Berwick, VIC, 3806",Berwick,brad.battin@parliament.vic.gov.au,,,,Legislative Assembly,Battin,21/03/2024,,,"Shadow Minister for Police, Shadow Minister for Youth Justice, Shadow Minister for Crime Prevention and Victim Support, Shadow Minister for Criminal Justice Reform, Shadow Minister for Corrections",,,Liberal Party,LP,(03) 5953 0216,,,,,Brad,,,,Mr,"http://www.bradbattin.com.au, http://www.facebook.com/BradBattinMP, https://twitter.com/BradBattinMP, https://www.instagram.com/BradBattinMP",,
,,"143 Main Street, Bairnsdale, VIC, 3875",Gippsland East,tim.bull@parliament.vic.gov.au,,,,Legislative Assembly,Bull,14/04/2023,,,"Shadow Minister for Disability, Ageing and Carers, Shadow Minister for Racing, Shadow Minister for Veterans' Affairs","PO Box 1278, Bairnsdale, VIC, 3875",,The Nationals,NAT,(03) 5152 3491,,,,,Tim,,,,The Hon.,,,
,,"Suite 1, 193 Balaclava Road, Caulfield North, VIC, 3161",Caulfield,david.southwick@parliament.vic.gov.au,,,,Legislative Assembly,Southwick,02/10/2023,,,"Shadow Minister for Major Projects, Shadow Minister for Transport Infrastructure, Shadow Minister for Trade and Investment, Shadow Minister for Cost of Living",,,Liberal Party,LP,(03) 9527 3866,,,,"Deputy Leader of the Opposition, Deputy Leader of the Liberal Party",David,,,,Mr,"https://www.davidsouthwick.com.au, https://facebook.com/southwickmp, https://twitter.com/SouthwickMP",,
,,"Shop 11, Aquagardens Shopping Centre, 28A Hume Drive, Sydenham, VIC, 3037",Sydenham,natalie.hutchins@parliament.vic.gov.au,,,,Legislative Assembly,Hutchins,26/10/2023,"121 Exhibition Street, Melbourne, VIC, 3000",(03) 9095 4301,"Minister for Jobs and Industry, Minister for Treaty and First Peoples, Minister for Women",,,Australian Labor Party,ALP,(03) 9449 1511,,,,,Natalie,,,,The Hon.,,,
,,"37 Reid Street, Wangaratta, VIC, 3677",Ovens Valley,tim.mccurdy@parliament.vic.gov.au,,,,Legislative Assembly,McCurdy,12/10/2023,,,"Shadow Minister for Water, Shadow Minister for Consumer Affairs",,,The Nationals,NAT,(03) 5721 6155,,,,,Tim,,,,Mr,http://www.timmccurdy.com.au,,
,,"Shop 10, 38-40 Bell Street, Yarra Glen, VIC, 3775",Eildon,cindy.mcleish@parliament.vic.gov.au,,,,Legislative Assembly,McLeish,02/10/2023,,,"Shadow Minister for Women, Shadow Minister for the Prevention of Family Violence, Shadow Minister for Small Business, Shadow Minister for WorkCover and the TAC","PO Box 128, Yarra Glen, VIC, 3775",,Liberal Party,LP,(03) 9730 1066,,,,,Cindy,,,,Ms,,,
,,"149 Burgundy Street, Heidelberg, VIC, 3084",Ivanhoe,anthony.carbines@parliament.vic.gov.au,,,,Legislative Assembly,Carbines,09/10/2023,"Level 26, 121 Exhibition Street, Melbourne, VIC, 3000",(03) 9136 2888,"Minister for Police, Minister for Crime Prevention, Minister for Racing","PO Box 63, Heidelberg, VIC, 3084",,Australian Labor Party,ALP,(03) 9457 5328,,,,,Anthony,,,,The Hon.,,,
,,"374 Nepean Hwy, Chelsea, VIC, 3196",Mordialloc,tim.richardson@Parliament.vic.gov.au,,,,Legislative Assembly,Richardson,10/03/2023,,,,,,Australian Labor Party,ALP,(03) 9772 4544,,,,"Parliamentary Secretary for Health Infrastructure, Parliamentary Secretary for Mental Health and Suicide Prevention",Tim,,,,Mr,,,
,,"723 Centre Road, Bentleigh East, VIC, 3165",Bentleigh,nick.staikos@parliament.vic.gov.au,,,,Legislative Assembly,Staikos,02/10/2023,,,,,,Australian Labor Party,ALP,(03) 9579 7222,,,,"Parliamentary Secretary to the Premier, Parliamentary Secretary for Multicultural Affairs",Nick,,,,Mr,"https://nickstaikos.com.au, https://www.facebook.com/NickforBentleigh, https://twitter.com/NStaikos",,
,,"Shops 5 & 6, 49-51 Beach Street, Frankston, VIC, 3199",Frankston,paul.edbrooke@parliament.vic.gov.au,,,,Legislative Assembly,Edbrooke,14/04/2023,,,,,,Australian Labor Party,ALP,(03) 9783 9822,,,,Parliamentary Secretary to the Treasurer,Paul,,,,Mr,"https://www.facebook.com/PaulforFrankston, https://twitter.com/paul4frankston",,
,,"Parliament House, Spring Street, East Melbourne, VIC, 3002",Melbourne,ellen.sandell@parliament.vic.gov.au,,,,Legislative Assembly,Sandell,23/04/2024,,,,,,The Australian Greens - Victoria,GRN,(03) 9328 4637,,,,"Leader of The Victorian Greens, Spokesperson for Climate Change and Emissions, Spokesperson for Biodiversity, Environment and Forests, Spokesperson for Gas and Resources, Spokesperson for Emergency Services and Climate Disaster Preparedness",Ellen,,,,Ms,"https://www.ellensandell.com, https://twitter.com/ellensandell",,
,,"718 Main Road, Eltham, VIC, 3095",Eltham,vicki.ward@parliament.vic.gov.au,,,,Legislative Assembly,Ward,21/02/2024,"GPO Box 4367, Melbourne, VIC, 3000",,"Minister for Prevention of Family Violence, Minister for Employment",,,Australian Labor Party,ALP,(03) 9439 1500,,,,,Vicki,,,,Ms,"https://www.vickiward.com.au, https://www.facebook.com/VickiWardMP, https://twitter.com/vickiwardMP",,
,,"Office 4, Block B, 33-35 Macedon Street West, Sunbury, VIC, 3429",Sunbury,josh.bull@parliament.vic.gov.au,,,,Legislative Assembly,Bull,17/01/2024,,,,,,Australian Labor Party,ALP,(03) 9740 4091,,,,"Parliamentary Secretary for Level Crossing Removals, Parliamentary Secretary for Transport",Josh,,,,Mr,,,
,,"183 - 185 High Street, Prahran, VIC, 3181",Prahran,sam.hibbins@parliament.vic.gov.au,,,,Legislative Assembly,Hibbins,23/04/2024,,,,,,The Australian Greens - Victoria,GRN,(03) 9981 9501,,,,"Co-Deputy Leader of the Victorian Greens, Manager of Greens Business in the Legislative Assembly, Spokesperson for Treasury, Spokesperson for Economic Justice, Spokesperson for Industrial Relations, Spokesperson for Community Services, Spokesperson for Sport",Sam,,,,Mr,"https://www.samhibbins.com/, https://www.facebook.com/SamHibbins, https://twitter.com/Sam_Hibbins",,
,,"473 Keilor Road, Niddrie, VIC, 3042",Niddrie,ben.carroll@parliament.vic.gov.au,,,,Legislative Assembly,Carroll,17/01/2024,"Level 3,, 1 Treasury Place, East Melbourne, VIC, 3002",(03) 9651 1233,"Minister for Education, Minister for Medical Research","PO Box 554, Niddrie, VIC, 3042",,Australian Labor Party,ALP,(03) 9379 5879,,,,Deputy Premier,Ben,,,,The Hon.,"https://facebook.com/BenCarrollMP, https://twitter.com/BenCarrollMP",,
,,"Shop M004A, Keilor Shopping Centre, 80 Taylors Road, Keilor Downs, VIC, 3021",St Albans,natalie.suleyman@parliament.vic.gov.au,,,,Legislative Assembly,Suleyman,02/11/2023,"Level 36,, 121 Exhibition Street, Melbourne, VIC, 3000",1300 591 858,"Minister for Veterans, Minister for Small Business, Minister for Youth","PO Box 198, St Albans, VIC, 3021",,Australian Labor Party,ALP,(03) 9367 9925,,,,,Natalie,,,,The Hon.,"https://www.nataliesuleyman.com.au/, https://www.facebook.com/nataliesuleymanmp",,
,,"94 Liebig Street, Warrnambool, VIC, 3280",South-West Coast,roma.britnell@parliament.vic.gov.au,,,,Legislative Assembly,Britnell,02/10/2023,,,"Shadow Minister for Ports and Freight, Shadow Minister for Boating and Fishing, Shadow Minister for Child Protection","PO Box 5075, Warrnambool, VIC, 3280",,Liberal Party,LP,(03) 5562 8230,,,,,Roma,,,,Ms,"http://romabritnell.com.au/, https://www.facebook.com/RomaBritnellMP/",,
,,"115A Bromfield Street, Colac, VIC, 3250",Polwarth,richard.riordan@parliament.vic.gov.au,(03) 5231 5209,,,Legislative Assembly,Riordan,02/10/2023,,,"Shadow Minister for Emergency Services, Shadow Minister for Housing",,,Liberal Party,LP,(03) 5231 5046,,,,,Richard,,,,Mr,"https://richardriordan.com.au/, https://www.facebook.com/RichardRiordanMP/",,
,,"Level 1, 1312 Centre Road, Clayton South, VIC, 3169",Clarinda,MengHeang.Tak@parliament.vic.gov.au,,,,Legislative Assembly,Tak,18/01/2024,,,,,,Australian Labor Party,ALP,(03) 9543 6081,,,,,Meng Heang,,,,Mr,https://www.facebook.com/mengheangtakmpforclarinda/,,
,,"204 Nicholson Street, Footscray, VIC, 3011",Footscray,Katie.Hall@parliament.vic.gov.au,,,,Legislative Assembly,Hall,02/10/2023,,,,,,Australian Labor Party,ALP,(03) 9689 4283,,,,"Parliamentary Secretary for Housing, Parliamentary Secretary for Creative Industries",Katie,,,,Ms,"https://www.facebook.com/KatieHallMP, https://twitter.com/katie_footscray, https://www.katiehallmp.com.au, https://www.instagram.com/katie_in_footscray/",,
,,"C1, Level 1, 100 Overton Road, Williams Landing, VIC, 3027",Laverton,Sarah.Connolly@parliament.vic.gov.au,,,,Legislative Assembly,Connolly,31/03/2023,,,,,,Australian Labor Party,ALP,(03) 9916 1778,,,,,Sarah,,,,Ms,"https://www.facebook.com/SarahConnollyMP/, https://www.sarahconnollymp.com.au/, https://www.instagram.com/SarahConnollyMP/, https://www.twitter.com/SarahConnollyMP/",,
,,"101 Douglas Parade, Williamstown, VIC, 3016",Williamstown,Melissa.Horne@parliament.vic.gov.au,,,,Legislative Assembly,Horne,09/11/2023,"Level 16,, 121 Exhibition Street, Melbourne, VIC, 3000",(03) 8392 8020,"Minister for Casino, Gaming and Liquor Regulation, Minister for Local Government, Minister for Ports and Freight, Minister for Roads and Road Safety",,,Australian Labor Party,ALP,(03) 9399 9022,,,,,Melissa,,,,The Hon.,,,
,,"Shops A3 and A4, Marriott Waters Shopping Centre,, cnr Thompsons Road & Marriott Boulevard, Lyndhurst, VIC, 3975",Cranbourne,Pauline.Richards@parliament.vic.gov.au,,,,Legislative Assembly,Richards,10/03/2023,,,,,,Australian Labor Party,ALP,(03) 5996 2901,,,,Government Whip in the Legislative Assembly,Pauline,,,,Ms,,,
,,"Ground Floor, 315 New Street, Brighton, VIC, 3186",Brighton,James.Newbury@parliament.vic.gov.au,,,,Legislative Assembly,Newbury,02/10/2023,,,"Shadow Minister for Planning, Shadow Minister for Environment and Climate Change, Shadow Minister for Equality",,,Liberal Party,LP,(03) 9592 1900,,,,Manager of Opposition Business,James,,,,Mr,"https://www.facebook.com/newbury3186, https://twitter.com/newbury3186, https://www.jamesnewbury.com.au",,
,,"4/404-414 High Street, Northcote, VIC, 3070",Northcote,Kat.Theophanous@parliament.vic.gov.au,,,,Legislative Assembly,Theophanous,10/03/2023,,,,,,Australian Labor Party,ALP,(03) 9481 5777,,,,Parliamentary Secretary for Women's Health,Kat,,,,Ms,https://www.facebook.com/KatTheoMP,,
,,"44 New Street, Ringwood, VIC, 3134",Ringwood,Will.Fowles@parliament.vic.gov.au,,,,Legislative Assembly,Fowles,16/08/2023,,,,,,Independent,Ind,(03) 9870 7396,,,,,Will,,,,Mr,"https://www.facebook.com/willfowlesmpringwood/, https://willfowles.com.au, https://www.instagram.com/will.fowles.mp, https://www.tiktok.com/@will.fowles.mp, https://twitter.com/WillFowlesMP",,
,,"143 Main Street, Lilydale, VIC, 3140",Evelyn,Bridget.Vallence@parliament.vic.gov.au,,,,Legislative Assembly,Vallence,02/10/2023,,,"Shadow Minister for Industry, Shadow Minister for Tertiary Education, Shadow Minister for Manufacturing, Shadow Minister for Innovation, Shadow Minister for Skills and Training",,,Liberal Party,LP,(03) 9735 3208,,,,,Bridget,,,,Ms,"https://www.facebook.com/BridgetVallenceMP, https://twitter.com/BridgetVallence, https://www.bridgetvallence.com.au",,
,,"Suite 6,, 252 Bay Road, Sandringham, VIC, 3191",Sandringham,Brad.Rowswell@parliament.vic.gov.au,,,,Legislative Assembly,Rowswell,19/04/2023,,,Shadow Treasurer,,,Liberal Party,LP,(03) 9598 2688,,,,,Brad,,,,Mr,"https://www.facebook.com/BradRowswell/ , https://twitter.com/BradRowswell, https://bradrowswell.com.au/",,
,,"Suite 1, , 40 Montclair Avenue, Glen Waverley, VIC, 3150",Ashwood,Matt.Fregon@parliament.vic.gov.au,,,,Legislative Assembly,Fregon,09/03/2023,,,,,,Australian Labor Party,ALP,(03) 9561 0511,,,,Deputy Speaker of the Legislative Assembly,Matt,,,,Mr,"https://www.facebook.com/MattFregonMP, https://www.mattfregon.com.au/, https://twitter.com/mjfregon, https://www.instagram.com/mattfregonmp",,
,,"24 Rutland Road, Box Hill, VIC, 3128",Box Hill,Paul.Hamer@parliament.vic.gov.au,,,,Legislative Assembly,Hamer,08/04/2024,,,,,,Australian Labor Party,ALP,(03) 9898 6606,,,,Parliamentary Secretary for Economic Growth,Paul,,,,Mr,"https://www.facebook.com/PaulHamerMP, https://twitter.com/paulhamermp, https://paulhamermp.com/",,
,,"Ground Floor, 15 Main Road, Bakery Hill, VIC, 3350",Eureka,Michaela.Settle@parliament.vic.gov.au,,,,Legislative Assembly,Settle,21/12/2023,,,,,,Australian Labor Party,ALP,(03) 5331 7722,,,,"Parliamentary Secretary for Regional Development, Parliamentary Secretary for Agriculture",Michaela,,,,Ms,"https://www.michaelasettle.com.au, https://twitter.com/michaelasettle, https://www.facebook.com/MichaelaSettleMP",,
,,"Suite 1, 31 Nicholson Street, Brunswick East, VIC, 3057",Brunswick,Tim.Read@parliament.vic.gov.au,,,,Legislative Assembly,Read,17/01/2024,,,,,,The Australian Greens - Victoria,GRN,(03) 9384 1241,,,,"Spokesperson for Coal Transition, Spokesperson for Integrity, Spokesperson for Population Health, Spokesperson for Mental Health, Spokesperson for Ageing, Spokesperson for Science and Research",Tim,,,,Dr,"https://facebook.com//TimReadGreens, https://twitter.com/timrread, https://www.timread.org.au",,
,,"211 Dana Street, Ballarat, VIC, 3350",Wendouree,Juliana.Addison@parliament.vic.gov.au,,,,Legislative Assembly,Addison,20/04/2024,,,,,,Australian Labor Party,ALP,(03) 5331 1003,,,,,Juliana,,,,Ms,"https://www.facebook.com/JulianaAddisonMP, https://twitter.com/juliana_addison, https://www.JulianaAddison.com.au",,
,,"9 McBride Avenue, Wonthaggi, VIC, 3995",Bass,Jordan.Crugnale@parliament.vic.gov.au,,,,Legislative Assembly,Crugnale,11/05/2023,,,,"PO Box 320, Wonthaggi, VIC, 3995",,Australian Labor Party,ALP,(03) 5672 4755,,,,,Jordan,,,,Ms,https://www.facebook.com/JordanCrugnaleMP/,,
,,"Suite 2 Mountain High Centre, 7-13 High Street, Bayswater, VIC, 3153",Bayswater,Jackson.Taylor@parliament.vic.gov.au,,,,Legislative Assembly,Taylor,14/04/2023,,,,,,Australian Labor Party,ALP,(03) 9738 0577,,,,Secretary to the Parliamentary Labor Party,Jackson,,,,Mr,"https://www.facebook.com/JacksonTaylorMP, https://www.jacksontaylor.com.au, https://www.instagram.com/JacksonTaylormp",,
,,"Shop 24, 166 Somerville Road, Hampton Park, VIC, 3976",Narre Warren South,Gary.Maas@parliament.vic.gov.au,,,,Legislative Assembly,Maas,28/03/2023,,,,,,Australian Labor Party,ALP,(03) 8783 6959,,,,,Gary,,,,Mr,"https://www.facebook.com/GaryMaasNWS/, https://twitter.com/mgarymaas, https://www.garymaas.org.au",,
,,"3 Alexandra Street, Melton, VIC, 3337",Melton,Stephen.McGhie@parliament.vic.gov.au,,,,Legislative Assembly,McGhie,10/03/2023,,,,,,Australian Labor Party,ALP,(03) 9743 9825,,,,Cabinet Secretary,Steve,,,,Mr,"https://www.facebook.com/Steve4Melton/, https://stevemcghie.com.au/steve-mcghie/",,
,,"T06, 458-480 Torquay Road, Armstrong Creek, VIC, 3217",South Barwon,Darren.Cheeseman@parliament.vic.gov.au,,,,Legislative Assembly,Cheeseman,01/05/2024,,,,,,Independent,Ind,(03) 5218 5070,,,,,Darren,,,,Mr,"https://www.facebook.com/darrencheesemanmp/, https://www.instagram.com/darrencheesemanmp/, https://www.darrencheeseman.com.au",,
,,"PO Box 235, Port Melbourne, VIC, 3207",Albert Park,Nina.Taylor@parliament.vic.gov.au,,,,Legislative Assembly,Taylor,26/02/2024,,,,,,Australian Labor Party,ALP,(03) 9646 7173,,,,Parliamentary Secretary for Justice,Nina,,,,Ms,,,
,,"Suite 603, Level 1, Point Cook Town Centre,, 2 Main Street, Point Cook, VIC, 3030",Point Cook,mathew.hilakari@parliament.vic.gov.au,,,,Legislative Assembly,Hilakari,18/04/2023,,,,,,Australian Labor Party,ALP,(03) 9395 0221,,,,,Mathew,,,,Mr,,,
,,"352 Bell Street, Preston, VIC, 3072",Preston,nathan.lambert@parliament.vic.gov.au,,,,Legislative Assembly,Lambert,02/10/2023,,,,,,Australian Labor Party,ALP,(03) 9981 3547,,,,Parliamentary Secretary for Children,Nathan,,,,Mr,,,
,,"Tenancy 2,, 11-19 Commercial Road, Caroline Springs, VIC, 3023",Kororoit,tbc@parliament,,,,Legislative Assembly,Grigorovitch,18/05/2023,,,,,,Australian Labor Party,ALP,(03) 8361 7133,,,,,Luba,,,,Ms,"https://www.lubagrigorovitch.com.au, https://www.facebook.com/LubagrigorovitchMP/, https://www.instagram.com/LubagrigorovitchMP",,
,,"12 Parkhill Road, Kew, VIC, 3101",Kew,jess.wilson@parliament.vic.gov.au,,,,Legislative Assembly,Wilson,02/10/2023,,,"Shadow Minister for Finance, Shadow Minister for Economic Reform and Regulation, Shadow Minister for Early Childhood and Education",,,Liberal Party,LP,(03) 9853 2999,,,,,Jess,,,,Ms,"https://www.jesswilsonkew.com.au/, https://www.facebook.com/JessWilsonKew, https://www.instagram.com/jesswilsonkew/",,
,,"Shop 89, Corio Shopping Centre,, Bacchus Marsh Road, Corio, VIC, 3214",Lara,ella.george@parliament.vic.gov.au,,,,Legislative Assembly,George,18/04/2023,,,,,,Australian Labor Party,ALP,(03) 5275 3898,,,,,Ella,,,,Ms,"https://www.facebook.com/EllaGeorgeMP, https://www.instagram.com/ellageorgemp/",,
,,"35A Deakin Avenue, Mildura, VIC, 3500",Mildura,jade.benham@parliament.vic.gov.au,,,,Legislative Assembly,Benham,18/04/2023,,,,,,The Nationals,NAT,(03) 5021 2828,,,,The Nationals Whip in the Legislative Assembly,Jade,,,,Ms,"https://www.jadebenham.com.au, https://twitter.com/Jade_Benham, https://www.Instagram.com/jadebenham_mp, https://www.tiktok.com/@thegreenboots, https://www.facebook.com/Jade4Mildura",,
